Random Generator,bet,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020
1,0.085037529,0.16517857142857142,0.15246636771300448,0.1409090909090909,0.11210762331838565,0.10909090909090909,0.11009174311926606,0.1232876712328767,0.12612612612612611,0.16055045871559634,0.1409090909090909,0.14864864864864866,0.15625,0.16964285714285715,0.16666666666666666,0.16379310344827586,0.15555555555555556,0.13333333333333333,0.12831858407079647
2,0.16991325399999999,0.4461538461538462,0.42911877394636017,0.4329501915708812,0.36259541984732824,0.3522727272727273,0.35658914728682173,0.3254901960784314,0.3107569721115538,0.324,0.3548387096774194,0.3545816733067729,0.3215686274509804,0.3035019455252918,0.2625482625482625,0.26666666666666666,0.24436090225563908,0.24719101123595505,0.21561338289962825
3,0.210453261,0.43333333333333335,0.4345991561181435,0.5062761506276151,0.5591836734693878,0.5766129032258065,0.5684647302904564,0.4810126582278481,0.47186147186147187,0.4148471615720524,0.42410714285714285,0.4533333333333333,0.47555555555555556,0.4517543859649123,0.39111111111111113,0.30666666666666664,0.24778761061946902,0.20087336244541484,0.1826086956521739
4,0.099769905,0.24870466321243523,0.25252525252525254,0.22613065326633167,0.21428571428571427,0.22613065326633167,0.208955223880597,0.18840579710144928,0.18009478672985782,0.19138755980861244,0.21800947867298578,0.22477064220183487,0.2191780821917808,0.1963470319634703,0.18018018018018017,0.17543859649122806,0.16810344827586207,0.15517241379310345,0.1471861471861472
5,0.06831377200000001,0.13934426229508196,0.1350210970464135,0.11914893617021277,0.1282051282051282,0.11158798283261803,0.08583690987124463,0.0851063829787234,0.08823529411764706,0.0875,0.08936170212765958,0.08823529411764706,0.06995884773662552,0.05785123966942149,0.06224066390041494,0.05371900826446281,0.044897959183673466,0.04132231404958678,0.04149377593360996
6,0.172685055,0.44656488549618323,0.4576923076923077,0.4566929133858268,0.41106719367588934,0.40476190476190477,0.376984126984127,0.32653061224489793,0.30522088353413657,0.2903225806451613,0.29959514170040485,0.332,0.35546875,0.3453815261044177,0.32936507936507936,0.31020408163265306,0.2809917355371901,0.2757201646090535,0.2625
7,0.142392997,0.29435483870967744,0.3306122448979592,0.3598326359832636,0.37344398340248963,0.3925619834710744,0.4074074074074074,0.36666666666666664,0.3401639344262295,0.2979591836734694,0.3185483870967742,0.3426294820717131,0.35714285714285715,0.3241106719367589,0.31225296442687744,0.26171875,0.23809523809523808,0.18972332015810275,0.1646586345381526
8,0.19138866,0.31981981981981983,0.32589285714285715,0.29596412556053814,0.28054298642533937,0.2636363636363636,0.2972972972972973,0.29333333333333333,0.3056768558951965,0.33766233766233766,0.36554621848739494,0.3983402489626556,0.41596638655462187,0.39574468085106385,0.34763948497854075,0.28936170212765955,0.25630252100840334,0.20588235294117646,0.2345679012345679
9,0.217387522,0.28205128205128205,0.3276595744680851,0.3090128755364807,0.32340425531914896,0.3458333333333333,0.3875,0.3877551020408163,0.45267489711934156,0.46443514644351463,0.4854771784232365,0.4669421487603306,0.45188284518828453,0.40336134453781514,0.3140495867768595,0.20816326530612245,0.19421487603305784,0.1859504132231405,0.16115702479338842
10,0.069329278,0.19838056680161945,0.1762295081967213,0.15163934426229508,0.128099173553719,0.1306122448979592,0.13008130081300814,0.1322314049586777,0.13445378151260504,0.14345991561181434,0.15546218487394958,0.15546218487394958,0.13617021276595745,0.11965811965811966,0.09913793103448276,0.0944206008583691,0.08085106382978724,0.07083333333333333,0.06639004149377593
11,0.097824866,0.212,0.18473895582329317,0.20481927710843373,0.23577235772357724,0.252,0.25206611570247933,0.2821576763485477,0.3055555555555556,0.34509803921568627,0.3046875,0.3228346456692913,0.32558139534883723,0.3178294573643411,0.2471042471042471,0.2109375,0.16929133858267717,0.12992125984251968,0.11284046692607004
